transaction_id;store_name;location;product_id;quantity;price;date
1001;Tech Haven;New York;101;15;199,99;15/01/2023
1002;Tech Haven;New York;102;7;299,99;16/01/2023
1003;Electro Central;Los Angeles;101;10;199,99;17/01/2023
1004;Electro Central;Los Angeles;103;5;499,99;18/01/2023
1005;Digital World;Chicago;104;12;129,99;19/01/2023
1006;Digital World;Chicago;102;4;299,99;20/01/2023
1007;Tech Haven;New York;104;6;129,99;21/01/2023
1008;Electro Central;Los Angeles;105;8;349,99;22/01/2023
1009;Digital World;Chicago;106;9;89,99;23/01/2023
1010;Tech Haven;New York;107;3;249,99;24/01/2023
1011;Electro Central;Los Angeles;108;11;99,99;25/01/2023
1012;Digital World;Chicago;109;4;39,99;26/01/2023
1013;Tech Haven;New York;110;5;59,99;27/01/2023
1014;Electro Central;Los Angeles;111;7;299,99;28/01/2023
1015;Digital World;Chicago;112;6;199,99;29/01/2023
1016;Tech Haven;New York;113;10;499,99;30/01/2023
